                          RANK  COUNT  ZIPF FREQUENCY
darf                       759      4            3036
kurze                      760      4            3040
marine                     761      4            3044
dieses                     762      4            3048
thatsachen                 763      4            3052
schrecklich                764      4            3056
ungewöhnlich               765      4            3060
liegen                     766      4            3064
enoch                      767      4            3068
j                          768      4            3072
angelegenheit              769      4            3076
lagen                      770      4            3080
eindruck                   771      4            3084
jedes                      772      4            3088
gitterthor                 773      4            3092
vergeblich                 774      4            3096
drinnen                    775      4            3100
umständen                  776      4            3104
begriff                    777      4            3108
eilte                      778      4            3112
mochte                     779      4            3116
richtete                   780      4            3120
gestalt                    781      4            3124
anzug                      782      4            3128
zügen                      783      4            3132
gaben                      784      4            3136
tod                        785      4            3140
jenem                      786      4            3144
dorthin                    787      4            3148
betrachtete                788      4            3152
lederstiefel               789      4            3156
ruf                        790      4            3160
herbei                     791      4            3164
goldene                    792      4            3168
joseph                     793      4            3172
enthielt                   794      4            3176
beweis                     795      4            3180
könnten                    796      4            3184
vorwärts                   797      4            3188
lang                       798      4            3192
glas                       799      4            3196
wege                       800      4            3200
wohnt                      801      4            3204
adresse                    802      4            3208
sahen                      803      4            3212
entstanden                 804      4            3216
draußen                    805      4            3220
schrift                    806      4            3224
kühne                      807      4            3228
je                         808      4            3232
gefahren                   809      4            3236
stolz                      810      4            3240
locken                     811      4            3244
auftrag                    812      4            3248
konzert                    813      4            3252
kinder                     814      4            3256
vorbei                     815      4            3260
hausthür                   816      4            3264
hund                       817      4            3268
braunen                    818      4            3272
fürchte                    819      4            3276
ferne                      820      4            3280
hoffe                      821      4            3284
schlafzimmer               822      4            3288
amerika                    823      4            3292
glaube                     824      4            3296
wirtin                     825      4            3300
sank                       826      4            3304
voll                       827      4            3308
bahnhof                    828      4            3312
einzig                     829      4            3316
wiggins                    830      4            3320
züge                       831      4            3324
